PL25_contig11 vs NZ_LDPV02000047.1
----------------------------------
Query       Target          Identity  Similarity
WP_047981725.1  WP_066194540.1  0.70      0.80      
WP_047981724.1  WP_066194543.1  0.37      0.60      
WP_047981722.1  WP_066194547.1  0.64      0.82      
WP_053351203.1  WP_066194550.1  0.50      0.66      
WP_047980631.1  WP_066194553.1  0.34      0.75      
WP_047980630.1  WP_066194556.1  0.53      0.73      
WP_064965386.1  WP_217282603.1  0.71      0.84      
WP_047980629.1  WP_172940698.1  0.45      0.62      
WP_047980628.1  WP_142385413.1  0.45      0.59      
WP_047980627.1  WP_066194568.1  0.57      0.71      
WP_157052515.1  WP_066194570.1  0.35      0.51      
WP_157052516.1  WP_066194573.1  0.49      0.62      
WP_047980665.1  WP_066194575.1  0.33      0.53      
WP_047980664.1  WP_066194577.1  0.42      0.66      
WP_047980662.1  WP_066194724.1  0.55      0.69      
WP_047980661.1  WP_083957294.1  0.51      0.69      
WP_047980660.1  WP_066194579.1  0.56      0.74      
WP_053071873.1  WP_066194582.1  0.37      0.54      
WP_157052517.1  WP_157090513.1  0.31      0.62      
WP_047980659.1  WP_066194585.1  0.55      0.69      
WP_047980658.1  WP_066194587.1  0.56      0.76      
WP_047980657.1  WP_066194590.1  0.46      0.62      
WP_053071872.1  WP_066194593.1  0.53      0.73      
WP_047980654.1  WP_083957295.1  0.59      0.72      
WP_047980653.1  WP_066194599.1  0.48      0.70      
WP_053071871.1  WP_459208863.1  0.37      0.41      

NZ_LDPV02000047.1 vs NZ_JBCITH010000002.1
-----------------------------------------
Query           Target          Identity  Similarity
WP_047981735.1  WP_269919817.1  0.40      0.52      
WP_047981734.1  WP_343191764.1  0.48      0.65      
WP_047981732.1  WP_343191765.1  0.59      0.73      
WP_047981731.1  WP_269919999.1  0.47      0.62      
WP_047981728.1  WP_269919996.1  0.45      0.68      
WP_047981727.1  WP_343191767.1  0.35      0.52      
WP_053071945.1  WP_227092818.1  0.53      0.69      
WP_053071940.1  WP_343191743.1  0.48      0.66      
WP_047981725.1  WP_227092193.1  0.64      0.79      
WP_047981724.1  WP_227092192.1  0.34      0.59      
WP_047981722.1  WP_269919985.1  0.56      0.76      
WP_053351203.1  WP_343191773.1  0.43      0.59      
WP_047980631.1  WP_269919984.1  0.31      0.63      
WP_047980630.1  WP_269919983.1  0.49      0.68      
WP_064965386.1  WP_343191780.1  0.45      0.53      
WP_047980628.1  WP_269919979.1  0.35      0.58      
WP_047980627.1  WP_343191776.1  0.53      0.65      
WP_157052515.1  WP_269919977.1  0.32      0.44      
WP_157052516.1  WP_343191777.1  0.35      0.49      
WP_047980665.1  WP_343191778.1  0.37      0.52      
WP_047980664.1  WP_269919974.1  0.33      0.58      
WP_047980662.1  WP_342021169.1  0.35      0.48      
WP_047980661.1  WP_342021170.1  0.34      0.48      
WP_047980660.1  WP_342021171.1  0.57      0.74      
WP_157052517.1  WP_343191735.1  0.32      0.57      
WP_047980659.1  WP_343191737.1  0.31      0.41      
WP_047980658.1  WP_343191738.1  0.51      0.69      
WP_047980657.1  WP_342021176.1  0.54      0.64      
WP_053071872.1  WP_343191739.1  0.45      0.66      
WP_047980654.1  WP_343158350.1  0.59      0.72      
WP_047980653.1  WP_343191740.1  0.37      0.48      
WP_053071871.1  WP_343191741.1  0.53      0.65      
WP_053071870.1  WP_342021181.1  0.72      0.85      
WP_157052518.1  WP_343191744.1  0.47      0.62      
WP_047980647.1  WP_227092147.1  0.34      0.47      
WP_047980644.1  WP_343191746.1  0.48      0.61      
WP_047980670.1  WP_343191748.1  0.45      0.66      
WP_047980642.1  WP_227092925.1  0.68      0.75      

NZ_JARSFA010000044.1 vs NZ_JBCITH010000002.1
--------------------------------------------
Query           Target          Identity  Similarity
WP_066194599.1  WP_343191740.1  0.36      0.48      
WP_083957295.1  WP_343158350.1  0.61      0.76      
WP_066194593.1  WP_343191739.1  0.43      0.63      
WP_066194590.1  WP_342021176.1  0.50      0.63      
WP_066194587.1  WP_343191738.1  0.47      0.65      
WP_157090513.1  WP_343191735.1  0.39      0.69      
WP_066194579.1  WP_342021171.1  0.52      0.71      
WP_083957294.1  WP_342021170.1  0.32      0.47      
WP_066194724.1  WP_342021169.1  0.33      0.46      
WP_066194577.1  WP_269919974.1  0.43      0.60      
WP_066194575.1  WP_343191778.1  0.37      0.49      
WP_066194573.1  WP_343191777.1  0.38      0.55      
WP_066194568.1  WP_343191776.1  0.51      0.63      
WP_142385413.1  WP_269919979.1  0.35      0.55      
WP_066194559.1  WP_227092184.1  0.30      0.47      
WP_217282603.1  WP_343191780.1  0.46      0.54      
WP_066194556.1  WP_269919983.1  0.59      0.74      
WP_066194553.1  WP_269919984.1  0.54      0.65      
WP_066194550.1  WP_343191773.1  0.43      0.60      
WP_066194547.1  WP_269919985.1  0.65      0.79      
WP_066194545.1  WP_227092191.1  0.56      0.70      
WP_066194543.1  WP_227092192.1  0.32      0.50      
WP_066194540.1  WP_227092193.1  0.60      0.75      
WP_066194537.1  WP_343191743.1  0.48      0.66      
WP_066194535.1  WP_227092194.1  0.31      0.44      
WP_066194527.1  WP_227092818.1  0.50      0.66      
WP_066194523.1  WP_343191767.1  0.36      0.51      
WP_066194520.1  WP_269919996.1  0.45      0.59      
WP_276328336.1  WP_342021198.1  0.35      0.46      
WP_066194507.1  WP_269919999.1  0.44      0.59      
WP_066194504.1  WP_343191765.1  0.57      0.72      
WP_066194501.1  WP_343191764.1  0.49      0.64      
WP_066194498.1  WP_269919817.1  0.64      0.78      
WP_066194495.1  WP_269919818.1  0.33      0.46      
WP_066194464.1  WP_342021202.1  0.39      0.59      
