locus_tag	ftype	length_bp	gene	EC_number	COG	product
PL25_00099	gene	1098	ravA			
PL25_00099	CDS	1098	ravA	3.6.1.-		Regulatory ATPase RavA
PL25_00100	gene	156				
PL25_00100	CDS	156				hypothetical protein
PL25_00101	gene	930				
PL25_00101	CDS	930				hypothetical protein
PL25_00102	gene	810	soj_1			
PL25_00102	CDS	810	soj_1	3.6.4.-	COG1192	Chromosome-partitioning ATPase Soj
PL25_00103	gene	405				
PL25_00103	CDS	405				hypothetical protein
PL25_00104	gene	345				
PL25_00104	CDS	345				hypothetical protein
PL25_00105	gene	267				
PL25_00105	CDS	267				hypothetical protein
PL25_00106	gene	342				
PL25_00106	CDS	342				hypothetical protein
PL25_00107	gene	618				
PL25_00107	CDS	618				hypothetical protein
PL25_00108	gene	267				
PL25_00108	CDS	267				hypothetical protein
PL25_00109	gene	360				
PL25_00109	CDS	360				hypothetical protein
PL25_00110	gene	246				
PL25_00110	CDS	246				hypothetical protein
PL25_00111	gene	288				
PL25_00111	CDS	288				hypothetical protein
PL25_00112	gene	315				
PL25_00112	CDS	315				hypothetical protein
PL25_00113	gene	612				
PL25_00113	CDS	612				hypothetical protein
PL25_00114	gene	354				
PL25_00114	CDS	354				hypothetical protein
PL25_00115	gene	324				
PL25_00115	CDS	324				hypothetical protein
PL25_00116	gene	2331				
PL25_00116	CDS	2331				hypothetical protein
PL25_00117	gene	354				
PL25_00117	CDS	354				hypothetical protein
PL25_00118	gene	846				
PL25_00118	CDS	846				hypothetical protein
PL25_00119	gene	789				
PL25_00119	CDS	789				hypothetical protein
PL25_00120	gene	204				
PL25_00120	CDS	204				hypothetical protein
PL25_00121	gene	72				
PL25_00121	tRNA	72				tRNA-Cys(gca)
PL25_00122	gene	168				
PL25_00122	CDS	168				hypothetical protein
PL25_00123	gene	300				
PL25_00123	CDS	300				hypothetical protein
PL25_00124	gene	393				
PL25_00124	CDS	393				hypothetical protein
PL25_00125	gene	186				
PL25_00125	CDS	186				hypothetical protein
PL25_00126	gene	234				
PL25_00126	CDS	234				hypothetical protein
PL25_00127	gene	777				
PL25_00127	CDS	777				hypothetical protein
PL25_00128	gene	564	hin			
PL25_00128	CDS	564	hin			DNA-invertase hin
PL25_00129	gene	96				
PL25_00129	CDS	96				hypothetical protein
PL25_00130	gene	252				
PL25_00130	CDS	252				hypothetical protein
PL25_00131	gene	174				
PL25_00131	CDS	174				hypothetical protein
PL25_00132	gene	492				
PL25_00132	CDS	492				hypothetical protein
PL25_00133	gene	876				
PL25_00133	CDS	876				hypothetical protein
PL25_00134	gene	696				
PL25_00134	CDS	696				hypothetical protein
PL25_00135	gene	387				
PL25_00135	CDS	387				hypothetical protein
PL25_00136	gene	465				
PL25_00136	CDS	465				hypothetical protein
PL25_00137	gene	366				
PL25_00137	CDS	366				hypothetical protein
PL25_00138	gene	303				
PL25_00138	CDS	303				hypothetical protein
PL25_00139	gene	723				
PL25_00139	CDS	723				hypothetical protein
PL25_00140	gene	426	ssbA_1			
PL25_00140	CDS	426	ssbA_1		COG0629	Single-stranded DNA-binding protein A
PL25_00141	gene	684				
PL25_00141	CDS	684				hypothetical protein
PL25_00142	gene	330				
PL25_00142	CDS	330				hypothetical protein
PL25_00143	gene	1029				
PL25_00143	CDS	1029				hypothetical protein
PL25_00144	gene	204				
PL25_00144	CDS	204				hypothetical protein
PL25_00145	gene	306				
PL25_00145	CDS	306				hypothetical protein
PL25_00146	gene	732				
PL25_00146	CDS	732				hypothetical protein
PL25_00147	gene	846	rpsA			
PL25_00147	CDS	846	rpsA		COG0539	Small ribosomal subunit protein bS1
PL25_00148	gene	1722				
PL25_00148	CDS	1722				hypothetical protein
PL25_00149	gene	741				
PL25_00149	CDS	741				hypothetical protein
PL25_00150	gene	1131				
PL25_00150	CDS	1131				hypothetical protein
PL25_00151	gene	627				
PL25_00151	CDS	627				hypothetical protein
PL25_00152	gene	165				
PL25_00152	CDS	165				hypothetical protein
PL25_00153	gene	699				
PL25_00153	CDS	699				hypothetical protein
PL25_00154	gene	333				
PL25_00154	CDS	333				hypothetical protein
PL25_00155	gene	402				
PL25_00155	CDS	402				hypothetical protein
PL25_00156	gene	2583				
PL25_00156	CDS	2583				hypothetical protein
PL25_00157	gene	168				
PL25_00157	CDS	168				hypothetical protein
PL25_00158	gene	1032				
PL25_00158	CDS	1032				hypothetical protein
PL25_00159	gene	252				
PL25_00159	CDS	252				hypothetical protein
PL25_00160	gene	249				
PL25_00160	CDS	249				hypothetical protein
PL25_00161	gene	258				
PL25_00161	CDS	258				hypothetical protein
PL25_00162	gene	423				
PL25_00162	CDS	423				hypothetical protein
PL25_00163	gene	285				
PL25_00163	CDS	285				hypothetical protein
PL25_00164	gene	222				
PL25_00164	CDS	222				hypothetical protein
PL25_00165	gene	129				
PL25_00165	CDS	129				hypothetical protein
PL25_00166	gene	144				
PL25_00166	CDS	144				hypothetical protein
PL25_00167	gene	177				
PL25_00167	CDS	177				hypothetical protein
PL25_00168	gene	264				
PL25_00168	CDS	264				hypothetical protein
PL25_00169	gene	348				
PL25_00169	CDS	348				hypothetical protein
PL25_00170	gene	291				
PL25_00170	CDS	291				hypothetical protein
PL25_00171	gene	1500				
PL25_00171	CDS	1500				hypothetical protein
PL25_00172	gene	531				
PL25_00172	CDS	531				hypothetical protein
PL25_00173	gene	798				
PL25_00173	CDS	798				hypothetical protein
PL25_00174	gene	198				
PL25_00174	CDS	198				hypothetical protein
PL25_00175	gene	153				
PL25_00175	CDS	153				hypothetical protein
PL25_00176	gene	945	xlyA_1			
PL25_00176	CDS	945	xlyA_1	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase XlyA
PL25_00177	gene	267				
PL25_00177	CDS	267				hypothetical protein
PL25_00178	gene	213				
PL25_00178	CDS	213				hypothetical protein
PL25_00179	gene	147				
PL25_00179	CDS	147				hypothetical protein
PL25_00180	gene	180				
PL25_00180	CDS	180				hypothetical protein
PL25_00181	gene	1911				
PL25_00181	CDS	1911				hypothetical protein
PL25_00182	gene	912				
PL25_00182	CDS	912				hypothetical protein
PL25_00183	gene	1932				
PL25_00183	CDS	1932				hypothetical protein
PL25_00184	gene	807				
PL25_00184	CDS	807				hypothetical protein
PL25_00185	gene	2436				
PL25_00185	CDS	2436				hypothetical protein
PL25_00186	gene	450				
PL25_00186	CDS	450				hypothetical protein
PL25_00187	gene	489				
PL25_00187	CDS	489				hypothetical protein
PL25_00188	gene	324				
PL25_00188	CDS	324				hypothetical protein
PL25_00189	gene	405				
PL25_00189	CDS	405				hypothetical protein
PL25_00190	gene	432				
PL25_00190	CDS	432				hypothetical protein
PL25_00191	gene	312				
PL25_00191	CDS	312				hypothetical protein
PL25_00192	gene	297				
PL25_00192	CDS	297				hypothetical protein
PL25_00193	gene	825				
PL25_00193	CDS	825				hypothetical protein
PL25_00194	gene	612				
PL25_00194	CDS	612				hypothetical protein
PL25_00195	gene	255				
PL25_00195	CDS	255				hypothetical protein
PL25_00196	gene	177				
PL25_00196	CDS	177				hypothetical protein
PL25_00197	gene	912				
PL25_00197	CDS	912				hypothetical protein
PL25_00198	gene	1443				
PL25_00198	CDS	1443				hypothetical protein
PL25_00199	gene	1245				
PL25_00199	CDS	1245				hypothetical protein
PL25_00200	gene	453				
PL25_00200	CDS	453				hypothetical protein
PL25_00201	gene	165				
PL25_00201	CDS	165				hypothetical protein
PL25_00202	gene	141				
PL25_00202	CDS	141				hypothetical protein
PL25_00203	gene	186				
PL25_00203	CDS	186				hypothetical protein
PL25_00204	gene	330				
PL25_00204	CDS	330				hypothetical protein
PL25_00205	gene	144				
PL25_00205	CDS	144				hypothetical protein
PL25_00206	gene	1191				
PL25_00206	CDS	1191				hypothetical protein
PL25_00207	gene	87				
PL25_00207	tRNA	87				tRNA-Ser(gct)
PL25_00208	gene	459				
PL25_00208	CDS	459				hypothetical protein
PL25_00209	gene	240				
PL25_00209	CDS	240				hypothetical protein
PL25_00210	gene	150				
PL25_00210	CDS	150				hypothetical protein
PL25_00211	gene	390				
PL25_00211	CDS	390				hypothetical protein
PL25_00212	gene	228				
PL25_00212	CDS	228				hypothetical protein
PL25_00213	gene	462				
PL25_00213	CDS	462				hypothetical protein
PL25_00214	gene	180				
PL25_00214	CDS	180				hypothetical protein
PL25_00215	gene	339				
PL25_00215	CDS	339				hypothetical protein
PL25_00216	gene	153				
PL25_00216	CDS	153				hypothetical protein
PL25_00217	gene	600				
PL25_00217	CDS	600				hypothetical protein
PL25_00218	gene	273				
PL25_00218	CDS	273				hypothetical protein
PL25_00219	gene	930				
PL25_00219	CDS	930				hypothetical protein
PL25_00220	gene	738				
PL25_00220	CDS	738				hypothetical protein
PL25_00221	gene	378	ssb_1			
PL25_00221	CDS	378	ssb_1		COG0629	Single-stranded DNA-binding protein
PL25_00222	gene	138				
PL25_00222	CDS	138				hypothetical protein
PL25_00223	gene	348				
PL25_00223	CDS	348				hypothetical protein
PL25_00224	gene	429				
PL25_00224	CDS	429				hypothetical protein
PL25_00225	gene	396				
PL25_00225	CDS	396				hypothetical protein
PL25_00226	gene	210				
PL25_00226	CDS	210				hypothetical protein
PL25_00227	gene	201				
PL25_00227	CDS	201				hypothetical protein
PL25_00228	gene	1278	dnaC_1			
PL25_00228	CDS	1278	dnaC_1	5.6.2.3	COG0305	Replicative DNA helicase DnaC
PL25_00229	gene	279				
PL25_00229	CDS	279				hypothetical protein
PL25_00230	gene	708				
PL25_00230	CDS	708				hypothetical protein
PL25_00231	gene	204				
PL25_00231	CDS	204				hypothetical protein
PL25_00232	gene	219				
PL25_00232	CDS	219				hypothetical protein
PL25_00233	gene	198				
PL25_00233	CDS	198				hypothetical protein
PL25_00234	gene	111				
PL25_00234	CDS	111				hypothetical protein
PL25_00235	gene	492				
PL25_00235	CDS	492				hypothetical protein
PL25_00236	gene	297				
PL25_00236	CDS	297				hypothetical protein
PL25_00237	gene	192				
PL25_00237	CDS	192				hypothetical protein
PL25_00238	gene	306				
PL25_00238	CDS	306				hypothetical protein
PL25_00239	gene	348				
PL25_00239	CDS	348				hypothetical protein
PL25_00240	gene	399				
PL25_00240	CDS	399				hypothetical protein
PL25_00241	gene	324				
PL25_00241	CDS	324				hypothetical protein
PL25_00242	gene	369				
PL25_00242	CDS	369				hypothetical protein
PL25_00243	gene	186				
PL25_00243	CDS	186				hypothetical protein
PL25_00244	gene	222				
PL25_00244	CDS	222				hypothetical protein
PL25_00245	gene	276				
PL25_00245	CDS	276				hypothetical protein
PL25_00246	gene	291				
PL25_00246	CDS	291				hypothetical protein
PL25_00247	gene	654				
PL25_00247	CDS	654				hypothetical protein
PL25_00248	gene	402				
PL25_00248	CDS	402				hypothetical protein
PL25_00249	gene	111				
PL25_00249	CDS	111				hypothetical protein
PL25_00250	gene	366				
PL25_00250	CDS	366				hypothetical protein
PL25_00251	gene	795				
PL25_00251	CDS	795				hypothetical protein
PL25_00252	gene	186				
PL25_00252	CDS	186				hypothetical protein
PL25_00253	gene	96				
PL25_00253	CDS	96				hypothetical protein
PL25_00254	gene	171				
PL25_00254	CDS	171				hypothetical protein
PL25_00255	gene	336				
PL25_00255	CDS	336				hypothetical protein
PL25_00256	gene	336				
PL25_00256	CDS	336				hypothetical protein
PL25_00257	gene	117				
PL25_00257	CDS	117				hypothetical protein
PL25_00258	gene	486	gerR			
PL25_00258	CDS	486	gerR			Sporulation-specific transcriptional regulator GerR
PL25_00259	gene	174	rpmF			
PL25_00259	CDS	174	rpmF			Large ribosomal subunit protein bL32
PL25_00260	gene	531				
PL25_00260	CDS	531				hypothetical protein
PL25_00261	gene	888	tmcAL_1			
PL25_00261	CDS	888	tmcAL_1	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
PL25_00262	gene	339	tmcAL_2			
PL25_00262	CDS	339	tmcAL_2	6.3.1.22		tRNA(Met) cytidine acetate ligase
PL25_00263	gene	1011	ylbL			
PL25_00263	CDS	1011	ylbL		COG3480	putative protein YlbL
PL25_00264	gene	1218	ylbJ			
PL25_00264	CDS	1218	ylbJ		COG3314	Sporulation integral membrane protein YlbJ
PL25_00265	gene	480	coaD			
PL25_00265	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PL25_00266	gene	579	rsmD			
PL25_00266	CDS	579	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PL25_00267	gene	124				
PL25_00267	misc_RNA	124				ylbH
PL25_00268	gene	276				
PL25_00268	CDS	276				hypothetical protein
PL25_00269	gene	438	ylbF			
PL25_00269	CDS	438	ylbF		COG3679	Regulatory protein YlbF
PL25_00270	gene	234				
PL25_00270	CDS	234				hypothetical protein
PL25_00271	gene	402				
PL25_00271	CDS	402				hypothetical protein
PL25_00272	gene	1068				
PL25_00272	CDS	1068				hypothetical protein
PL25_00273	gene	366				
PL25_00273	CDS	366				hypothetical protein
PL25_00274	gene	1059				
PL25_00274	CDS	1059				Sodium-lithium/proton antiporter
PL25_00275	gene	456				
PL25_00275	CDS	456				hypothetical protein
PL25_00276	gene	900				
PL25_00276	CDS	900				hypothetical protein
PL25_00277	gene	315	caaD			
PL25_00277	CDS	315	caaD	7.1.1.9		Cytochrome c oxidase subunit 4B
PL25_00278	gene	624	ctaE			
PL25_00278	CDS	624	ctaE	7.1.1.9		Cytochrome c oxidase subunit 3
PL25_00279	gene	1854	ctaD			
PL25_00279	CDS	1854	ctaD	7.1.1.9		Cytochrome c oxidase subunit 1
PL25_00280	gene	1053	ctaC			
PL25_00280	CDS	1053	ctaC	7.1.1.9	COG1622	Cytochrome c oxidase subunit 2
PL25_00281	gene	945	ctaB2_1			
PL25_00281	CDS	945	ctaB2_1	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 2
PL25_00282	gene	948	ctaA			
PL25_00282	CDS	948	ctaA	1.17.99.9		Heme A synthase
PL25_00283	gene	3447	pyc			
PL25_00283	CDS	3447	pyc	6.4.1.1	COG1038	Pyruvate carboxylase
PL25_00284	gene	1185	ftsW			
PL25_00284	CDS	1185	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
PL25_00285	gene	285				
PL25_00285	CDS	285				hypothetical protein
PL25_00286	gene	489				
PL25_00286	CDS	489				hypothetical protein
PL25_00287	gene	600				
PL25_00287	CDS	600				hypothetical protein
PL25_00288	gene	288				
PL25_00288	CDS	288				hypothetical protein
PL25_00289	gene	204				
PL25_00289	CDS	204				hypothetical protein
PL25_00290	gene	312				
PL25_00290	CDS	312				hypothetical protein
PL25_00291	gene	171				
PL25_00291	CDS	171				hypothetical protein
PL25_00292	gene	810	suhB			
PL25_00292	CDS	810	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
PL25_00293	gene	192				
PL25_00293	CDS	192				hypothetical protein
PL25_00294	gene	618				
PL25_00294	CDS	618				hypothetical protein
PL25_00295	gene	270				
PL25_00295	CDS	270				hypothetical protein
PL25_00296	gene	1467	speA_1			
PL25_00296	CDS	1467	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
PL25_00297	gene	215				
PL25_00297	misc_RNA	215				SR1
PL25_00298	gene	108				
PL25_00298	CDS	108				hypothetical protein
PL25_00299	gene	858				
PL25_00299	CDS	858				hypothetical protein
PL25_00300	gene	1530	opuD			
PL25_00300	CDS	1530	opuD		COG1292	Glycine betaine transporter OpuD
PL25_00301	gene	384				
PL25_00301	CDS	384				hypothetical protein
PL25_00302	gene	1407	pdhD_1			
PL25_00302	CDS	1407	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
PL25_00303	gene	1275	pdhC_1			
PL25_00303	CDS	1275	pdhC_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PL25_00304	gene	978	pdhB_1			
PL25_00304	CDS	978	pdhB_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
PL25_00305	gene	1083	pdhA_1			
PL25_00305	CDS	1083	pdhA_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
PL25_00306	gene	720				
PL25_00306	CDS	720				hypothetical protein
PL25_00307	gene	552	def2			
PL25_00307	CDS	552	def2	3.5.1.88		Peptide deformylase 2
PL25_00308	gene	774				
PL25_00308	CDS	774				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
PL25_00309	gene	96				
PL25_00309	CDS	96				hypothetical protein
PL25_00310	gene	210	rpoY			
PL25_00310	CDS	210	rpoY	2.7.7.6	COG5503	DNA-directed RNA polymerase subunit epsilon
PL25_00311	gene	1668	rnjA			
PL25_00311	CDS	1668	rnjA	3.1.-.-	COG0595	Ribonuclease J1
PL25_00312	gene	666	ktrC			
PL25_00312	CDS	666	ktrC		COG0569	Ktr system potassium uptake protein C
PL25_00313	gene	1356				
PL25_00313	CDS	1356				IS1182 family transposase IS656
PL25_00314	gene	1839				
PL25_00314	CDS	1839			COG1132	putative ABC transporter ATP-binding protein
PL25_00315	gene	1818	ywjA_1			
PL25_00315	CDS	1818	ywjA_1		COG1132	putative ABC transporter ATP-binding protein YwjA
PL25_00316	gene	453	ykuV			
PL25_00316	CDS	453	ykuV	1.8.-.-	COG0526	Thiol-disulfide oxidoreductase YkuV
PL25_00317	gene	249				
PL25_00317	CDS	249				hypothetical protein
PL25_00318	gene	1116				
PL25_00318	CDS	1116		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
PL25_00319	gene	720	dapH_1			
PL25_00319	CDS	720	dapH_1	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PL25_00320	gene	444	darB			
PL25_00320	CDS	444	darB		COG0517	Cyclic di-AMP receptor B
PL25_00321	gene	303	czrA			
PL25_00321	CDS	303	czrA		COG0640	HTH-type transcriptional repressor CzrA
PL25_00322	gene	912	czcD			
PL25_00322	CDS	912	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
PL25_00323	gene	855	lpxG_1			
PL25_00323	CDS	855	lpxG_1	3.6.1.-		UDP-2,3-diacylglucosamine pyrophosphatase LpxG
PL25_00324	gene	624				
PL25_00324	CDS	624				hypothetical protein
PL25_00325	gene	477				
PL25_00325	CDS	477				hypothetical protein
PL25_00326	gene	276				
PL25_00326	CDS	276				hypothetical protein
PL25_00327	gene	918				
PL25_00327	CDS	918				hypothetical protein
PL25_00328	gene	147				
PL25_00328	CDS	147				hypothetical protein
PL25_00329	gene	1158	dapX			
PL25_00329	CDS	1158	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
PL25_00330	gene	525	sipT_1			
PL25_00330	CDS	525	sipT_1	3.4.21.89	COG0681	Signal peptidase I T
PL25_00331	gene	93				
PL25_00331	CDS	93				hypothetical protein
PL25_00332	gene	1158				
PL25_00332	CDS	1158				hypothetical protein
PL25_00333	gene	1143				
PL25_00333	CDS	1143				hypothetical protein
PL25_00334	gene	120				
PL25_00334	CDS	120				hypothetical protein
PL25_00335	gene	1158	mucR			
PL25_00335	CDS	1158	mucR	2.7.7.65		Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR
PL25_00336	gene	147				
PL25_00336	CDS	147				hypothetical protein
PL25_00337	gene	1368	ktrB_1			
PL25_00337	CDS	1368	ktrB_1		COG0168	Ktr system potassium uptake protein B
PL25_00338	gene	411				
PL25_00338	CDS	411				hypothetical protein
PL25_00339	gene	1266	moeA_1			
PL25_00339	CDS	1266	moeA_1	2.10.1.1		Molybdopterin molybdenumtransferase
PL25_00340	gene	144				
PL25_00340	CDS	144				hypothetical protein
PL25_00341	gene	750	nfrA1			
PL25_00341	CDS	750	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
PL25_00342	gene	447				
PL25_00342	CDS	447				hypothetical protein
PL25_00343	gene	207				
PL25_00343	CDS	207				hypothetical protein
PL25_00344	gene	447				
PL25_00344	CDS	447				hypothetical protein
PL25_00345	gene	480				
PL25_00345	CDS	480				hypothetical protein
PL25_00346	gene	1017	spoVAD			
PL25_00346	CDS	1017	spoVAD		COG0332	Stage V sporulation protein AD
PL25_00347	gene	351				
PL25_00347	CDS	351				hypothetical protein
PL25_00348	gene	201				
PL25_00348	CDS	201				hypothetical protein
PL25_00349	gene	858				
PL25_00349	CDS	858				hypothetical protein
PL25_00350	gene	1224	dctA			
PL25_00350	CDS	1224	dctA		COG1301	C4-dicarboxylate transport protein
PL25_00351	gene	1347				
PL25_00351	CDS	1347			COG3385	IS4 family transposase ISHaha1
PL25_00352	gene	984	adhT			
PL25_00352	CDS	984	adhT	1.1.1.1		Alcohol dehydrogenase
PL25_00353	gene	1032	arsA			
PL25_00353	CDS	1032	arsA	7.3.2.7		Arsenical pump-driving ATPase
PL25_00354	gene	258				
PL25_00354	CDS	258				hypothetical protein
PL25_00355	gene	1737	cstA_1			
PL25_00355	CDS	1737	cstA_1		COG1966	Peptide transporter CstA
PL25_00356	gene	1431				
